location,Month-Year,new_cases
Barbados,Sep-21,3349
Barbados,Oct-21,9382
Barbados,Nov-21,7553
Barbados,Dec-21,3249
Barbados,Jan-22,15865
Barbados,Feb-22,10735
Barbados,Mar-22,4107
Barbados,Apr-22,10808
Barbados,May-22,10574
Barbados,Jun-22,3767
Barbados,Jul-22,7665
Barbados,Aug-22,9034
Barbados,Sep-22,1460
Barbados,Oct-22,434
Barbados,Nov-22,1402
Barbados,Dec-22,1099
Barbados,Jan-23,642
Barbados,Feb-23,0
Belarus,Feb-20,1
Belarus,Mar-20,151
Belarus,Apr-20,13875
Belarus,May-20,28529
Belarus,Jun-20,19562
Belarus,Jul-20,5690
Belarus,Aug-20,4035
Belarus,Sep-20,6788
Belarus,Oct-20,19851
Belarus,Nov-20,38165
Belarus,Dec-20,57637
Belarus,Jan-21,54052
Belarus,Feb-21,38970
Belarus,Mar-21,34501
Belarus,Apr-21,36931
Belarus,May-21,35701
Belarus,Jun-21,22750
Belarus,Jul-21,28851
Belarus,Aug-21,35492
Belarus,Sep-21,56554
Belarus,Oct-21,62082
Belarus,Nov-21,54550
Belarus,Dec-21,44392
Belarus,Jan-22,43843
Belarus,Feb-22,176783
Belarus,Mar-22,42971
Belarus,Apr-22,17638
Belarus,May-22,2522
Belarus,Jun-22,0
Belarus,Jul-22,11170
Belarus,Aug-22,0
Belarus,Sep-22,0
Belarus,Oct-22,0
Belarus,Nov-22,0
Belarus,Dec-22,0
Belarus,Jan-23,0
Belarus,Feb-23,0
Belgium,Feb-20,1
Belgium,Mar-20,12774
Belgium,Apr-20,35744
Belgium,May-20,9862
Belgium,Jun-20,3046
Belgium,Jul-20,7324
Belgium,Aug-20,16485
Belgium,Sep-20,33216
Belgium,Oct-20,310777
Belgium,Nov-20,148116
Belgium,Dec-20,69151
Belgium,Jan-21,63657
Belgium,Feb-21,61358
Belgium,Mar-21,110942
Belgium,Apr-21,107776
Belgium,May-21,71772
Belgium,Jun-21,23130
Belgium,Jul-21,39584
Belgium,Aug-21,59949
Belgium,Sep-21,60290
Belgium,Oct-21,115696
Belgium,Nov-21,405385
Belgium,Dec-21,339308
Belgium,Jan-22,1049896
Belgium,Feb-22,402075
Belgium,Mar-22,293734
Belgium,Apr-22,205400
Belgium,May-22,96110
Belgium,Jun-22,93520
Belgium,Jul-22,168177
Belgium,Aug-22,68060
Belgium,Sep-22,62190
Belgium,Oct-22,67734
Belgium,Nov-22,27172
Belgium,Dec-22,28837
Belgium,Jan-23,23251
Belgium,Feb-23,0
Belize,Mar-20,3
Belize,Apr-20,15
Belize,May-20,0
Belize,Jun-20,6
Belize,Jul-20,24
Belize,Aug-20,959
Belize,Sep-20,985
Belize,Oct-20,1495
Belize,Nov-20,2367
Belize,Dec-20,4922
Belize,Jan-21,1132
Belize,Feb-21,385
Belize,Mar-21,163
Belize,Apr-21,212
Belize,May-21,141
Belize,Jun-21,442
Belize,Jul-21,912
Belize,Aug-21,2190
Belize,Sep-21,4448
Belize,Oct-21,5997
Belize,Nov-21,3633
Belize,Dec-21,2409
Belize,Jan-22,17647
Belize,Feb-22,6207
Belize,Mar-22,586
Belize,Apr-22,217
Belize,May-22,1868
Belize,Jun-22,4601
Belize,Jul-22,3145
Belize,Aug-22,1191
Belize,Sep-22,552
Belize,Oct-22,89
Belize,Nov-22,105
Belize,Dec-22,898
Belize,Jan-23,714
Belize,Feb-23,0
Benin,Mar-20,9
Benin,Apr-20,55
Benin,May-20,377
Benin,Jun-20,967
Benin,Jul-20,606
Benin,Aug-20,340
Benin,Sep-20,212
Benin,Oct-20,286
Benin,Nov-20,372
Benin,Dec-20,236
Benin,Jan-21,642
Benin,Feb-21,1541
Benin,Mar-21,1666
Benin,Apr-21,721
Benin,May-21,237
Benin,Jun-21,141
Benin,Jul-21,195
Benin,Aug-21,4972
Benin,Sep-21,10524
Benin,Oct-21,859
Benin,Nov-21,101
Benin,Dec-21,85
Benin,Jan-22,1515
Benin,Feb-22,117
Benin,Mar-22,385
Benin,Apr-22,0
Benin,May-22,0
Benin,Jun-22,264
Benin,Jul-22,100
Benin,Aug-22,174
Benin,Sep-22,148
Benin,Oct-22,144
Benin,Nov-22,198
Benin,Dec-22,2
Benin,Jan-23,7
Benin,Feb-23,0
Bermuda,Mar-20,32
Bermuda,Apr-20,82
Bermuda,May-20,26
Bermuda,Jun-20,6
Bermuda,Jul-20,10
Bermuda,Aug-20,16
Bermuda,Sep-20,9
Bermuda,Oct-20,18
Bermuda,Nov-20,61
Bermuda,Dec-20,344
Bermuda,Jan-21,87
Bermuda,Feb-21,14
Bermuda,Mar-21,512
Bermuda,Apr-21,1176
Bermuda,May-21,101
Bermuda,Jun-21,20
Bermuda,Jul-21,39
Bermuda,Aug-21,370
Bermuda,Sep-21,2321
Bermuda,Oct-21,403
Bermuda,Nov-21,101
Bermuda,Dec-21,672
Bermuda,Jan-22,4373
Bermuda,Feb-22,768
Bermuda,Mar-22,1003
Bermuda,Apr-22,924
Bermuda,May-22,1267
Bermuda,Jun-22,1407
Bermuda,Jul-22,1031
Bermuda,Aug-22,720
Bermuda,Sep-22,241
Bermuda,Oct-22,186
Bermuda,Nov-22,123
Bermuda,Dec-22,159
Bermuda,Jan-23,144
Bermuda,Feb-23,5
Bhutan,Mar-20,4
Bhutan,Apr-20,3
Bhutan,May-20,36
Bhutan,Jun-20,34
Bhutan,Jul-20,24
Bhutan,Aug-20,124
Bhutan,Sep-20,57
Bhutan,Oct-20,67
Bhutan,Nov-20,61
Bhutan,Dec-20,260
Bhutan,Jan-21,189
Bhutan,Feb-21,8
Bhutan,Mar-21,6
Bhutan,Apr-21,201
Bhutan,May-21,546
Bhutan,Jun-21,480
Bhutan,Jul-21,415
Bhutan,Aug-21,81
Bhutan,Sep-21,5
Bhutan,Oct-21,20
Bhutan,Nov-21,19
Bhutan,Dec-21,20
Bhutan,Jan-22,2231
Bhutan,Feb-22,7811
Bhutan,Mar-22,15399
Bhutan,Apr-22,31062
Bhutan,May-22,465
Bhutan,Jun-22,101
Bhutan,Jul-22,639
Bhutan,Aug-22,708
Bhutan,Sep-22,893
Bhutan,Oct-22,411
Bhutan,Nov-22,123
Bhutan,Dec-22,21
Bhutan,Jan-23,81
Bhutan,Feb-23,0
Bolivia,Mar-20,107
Bolivia,Apr-20,1060
Bolivia,May-20,8815
Bolivia,Jun-20,23237
Bolivia,Jul-20,43570
Bolivia,Aug-20,39809
Bolivia,Sep-20,18713
Bolivia,Oct-20,6446
Bolivia,Nov-20,2951
Bolivia,Dec-20,15416
Bolivia,Jan-21,56711
Bolivia,Feb-21,32175
Bolivia,Mar-21,23401
Bolivia,Apr-21,31321
Bolivia,May-21,67547
Bolivia,Jun-21,68345
